Average Time,Activation,Underlying Relationship,Observations,Dimensions,Depth
0.09766554832458496,Leaky_ReLU,sin,500,2,30
0.09250402450561523,ELU,sin,500,2,30
0.14377427101135254,PReLU,sin,500,2,30
0.15171384811401367,SELU,sin,500,2,30
0.32567787170410156,ALReLU,sin,500,2,30
0.020107030868530273,ReLU,qdr,500,2,1
0.012010574340820312,Leaky_ReLU,qdr,500,2,1
0.010402679443359375,ELU,qdr,500,2,1
0.014204263687133789,PReLU,qdr,500,2,1
0.011357545852661133,SELU,qdr,500,2,1
0.01100015640258789,ALReLU,qdr,500,2,1
0.02326035499572754,ReLU,qdr,500,2,3
0.018790483474731445,Leaky_ReLU,qdr,500,2,3
0.01804184913635254,ELU,qdr,500,2,3
0.019598007202148438,PReLU,qdr,500,2,3
0.01934957504272461,SELU,qdr,500,2,3
0.02522134780883789,ALReLU,qdr,500,2,3
0.03442502021789551,ReLU,qdr,500,2,10
0.03648066520690918,Leaky_ReLU,qdr,500,2,10
0.03770852088928223,ELU,qdr,500,2,10
0.0529325008392334,PReLU,qdr,500,2,10
0.07946372032165527,SELU,qdr,500,2,10
0.049561262130737305,ALReLU,qdr,500,2,10
0.17899489402770996,ReLU,qdr,500,2,30
0.10671401023864746,Leaky_ReLU,qdr,500,2,30
0.18742704391479492,ELU,qdr,500,2,30
0.1206369400024414,PReLU,qdr,500,2,30
0.07802557945251465,SELU,qdr,500,2,30
0.2523670196533203,ALReLU,qdr,500,2,30
0.0165097713470459,ReLU,exp,500,2,1
0.012002706527709961,Leaky_ReLU,exp,500,2,1
0.01327657699584961,ELU,exp,500,2,1
0.015810012817382812,PReLU,exp,500,2,1
0.00997161865234375,SELU,exp,500,2,1
0.012248516082763672,ALReLU,exp,500,2,1
0.016024351119995117,ReLU,exp,500,2,3
0.01529550552368164,Leaky_ReLU,exp,500,2,3
0.017273426055908203,ELU,exp,500,2,3
0.017882347106933594,PReLU,exp,500,2,3
0.014407634735107422,SELU,exp,500,2,3
0.019800186157226562,ALReLU,exp,500,2,3
0.03831768035888672,ReLU,exp,500,2,10
